Marital_status,Application_mode,Application_order,Daytime_evening_attendance,Previous_qualification_grade,Mothers_qualification,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Status
single,1,3,daytime,122.0,1,120.3,no,no,yes,female,yes,21,0,0,0,0.0,0,0,0,0,0.0,0,1
single,18,4,daytime,127.0,1,121.8,yes,no,yes,female,no,20,7,14,7,11.4375,0,8,9,8,11.425,0,1
single,1,4,daytime,142.0,19,125.5,yes,no,yes,female,no,18,8,12,7,12.857142857142858,0,8,12,7,12.857142857142858,0,1
single,1,4,daytime,125.0,1,114.9,yes,no,yes,female,yes,19,6,8,6,13.375,0,6,7,6,12.285714285714286,0,1
single,1,1,daytime,126.0,19,123.9,no,no,yes,female,no,19,7,8,6,13.296666666666669,0,8,9,7,14.114285714285714,0,1
single,1,1,daytime,151.0,19,157.0,yes,yes,yes,female,yes,18,6,8,5,11.6,0,6,12,4,11.0,0,1
single,17,2,daytime,115.0,19,116.4,yes,no,yes,female,no,21,6,9,6,11.375,0,6,9,6,13.285714285714286,0,1
single,1,1,daytime,138.0,19,131.0,yes,no,yes,female,no,18,5,9,5,12.666666666666666,2,5,7,4,13.0,0,1
single,1,1,daytime,135.0,19,122.1,yes,no,yes,female,no,20,5,6,5,12.0,0,5,6,5,12.333333333333334,0,1
single,17,2,daytime,127.0,3,118.8,yes,no,yes,male,no,19,7,9,6,12.933333333333332,0,7,7,6,13.716666666666669,0,1
single,44,1,daytime,150.0,4,150.0,no,no,yes,male,no,21,6,15,5,11.857142857142858,0,6,17,5,10.571428571428571,0,1
single,51,1,daytime,125.0,42,130.0,yes,no,yes,male,no,20,6,7,6,12.833333333333334,0,6,9,4,13.4,0,1
single,1,1,daytime,143.0,1,138.8,no,no,no,male,no,18,5,9,3,11.333333333333334,0,5,8,2,13.5,0,1
single,18,1,evening,138.0,19,134.5,yes,no,yes,female,no,19,6,6,6,12.666666666666666,0,6,8,6,14.375,0,1
single,1,1,evening,130.0,2,131.4,no,no,yes,male,no,34,5,6,5,12.4,0,5,9,5,13.428571428571429,0,1
single,39,1,daytime,130.0,38,102.5,no,yes,no,male,no,37,7,7,0,0.0,0,7,7,1,10.0,0,0
single,39,1,daytime,133.1,34,128.8,yes,no,yes,male,no,43,5,0,0,0.0,0,5,0,0,0.0,0,0
single,43,1,daytime,140.0,37,122.9,no,no,yes,female,no,55,5,10,1,10.0,0,5,8,2,12.0,2,0
divorced,39,1,evening,120.0,19,113.9,yes,no,yes,female,no,39,5,8,5,11.0,0,5,5,5,11.6,0,1
single,44,1,daytime,120.0,4,120.0,no,yes,no,female,no,20,6,13,3,11.666666666666666,0,6,11,3,12.0,0,0
single,1,5,daytime,126.0,3,121.1,no,yes,yes,female,no,18,6,6,4,12.75,0,5,5,0,0.0,0,0
single,1,2,daytime,133.0,3,120.4,yes,no,yes,female,no,22,5,5,5,14.8,0,5,5,5,15.8,0,1
single,1,6,daytime,103.0,1,100.6,yes,no,yes,female,no,22,7,9,5,13.928,0,8,9,7,14.342857142857142,0,1
single,17,1,daytime,120.0,1,121.4,no,no,no,female,no,20,6,7,4,13.0,0,6,7,5,13.8,0,0
single,39,1,evening,133.1,37,109.7,no,no,yes,female,no,29,5,0,0,0.0,0,5,0,0,0.0,0,0
single,17,1,evening,154.0,38,134.1,no,no,yes,female,no,24,5,9,2,11.5,0,5,11,3,14.333333333333334,1,1
single,17,2,daytime,130.0,19,127.6,yes,no,yes,female,no,18,6,6,6,11.666666666666666,0,6,8,5,13.2,0,1
single,17,6,daytime,132.0,37,132.4,yes,no,yes,female,yes,22,7,8,6,13.516666666666666,0,8,9,7,13.771428571428572,0,1
single,44,1,evening,130.0,1,133.4,no,no,yes,female,yes,21,6,6,6,11.5,0,6,7,6,13.285714285714286,0,1
single,1,1,daytime,139.0,37,126.1,no,no,yes,female,yes,19,6,7,5,12.333333333333334,0,6,7,6,12.833333333333334,0,1
single,39,1,daytime,130.0,19,113.5,no,no,yes,female,yes,24,6,6,6,13.666666666666666,0,6,6,6,14.166666666666666,0,1
single,1,1,daytime,139.0,37,121.3,yes,no,yes,female,yes,19,8,10,6,11.833333333333334,0,8,10,6,11.833333333333334,0,1
single,1,1,daytime,127.0,1,121.8,yes,no,yes,female,yes,20,6,11,4,14.0,0,6,12,3,11.0,0,1
single,1,3,daytime,167.0,37,159.3,no,no,yes,female,no,19,5,7,5,14.714285714285714,0,5,5,5,15.8,0,1
single,39,1,evening,130.0,38,120.0,no,no,yes,female,no,27,5,12,5,10.6,0,5,10,5,11.0,0,0
single,1,1,daytime,130.0,1,129.1,yes,no,yes,female,no,18,7,9,7,13.044444444444444,0,8,10,8,13.595,0,1
married,7,1,daytime,130.0,1,130.0,no,no,yes,female,no,39,6,10,0,0.0,0,6,6,0,0.0,0,0
single,39,1,daytime,129.0,3,155.3,yes,no,yes,female,no,27,6,9,5,13.0,0,11,13,10,12.9,0,0
single,17,1,daytime,141.0,38,139.8,yes,no,yes,female,no,18,8,8,8,14.935,0,8,8,8,14.935,0,1
single,1,3,daytime,125.0,38,115.2,yes,no,yes,female,no,18,0,0,0,0.0,0,0,0,0,0.0,0,1
single,1,2,daytime,125.0,19,114.9,no,no,yes,female,no,18,7,8,6,13.133333333333333,0,8,12,7,12.221428571428572,0,1
single,44,1,daytime,130.0,19,131.9,no,no,yes,female,yes,21,6,7,6,12.0,0,6,7,6,12.0,0,1
single,17,3,daytime,133.0,1,126.0,yes,no,yes,male,yes,19,0,0,0,0.0,0,0,0,0,0.0,0,1
single,17,1,daytime,127.0,1,130.2,yes,no,yes,male,no,19,6,6,5,11.4,0,6,8,1,10.0,0,1
single,43,1,daytime,116.0,1,120.9,no,no,yes,male,no,24,6,6,0,0.0,0,6,6,0,0.0,0,1
divorced,42,1,daytime,133.1,1,126.0,yes,no,yes,male,no,29,7,10,5,11.9,0,8,10,5,11.0,0,0
single,1,3,daytime,139.0,19,128.2,yes,no,yes,male,yes,19,0,0,0,0.0,0,0,0,0,0.0,0,1
single,44,1,daytime,130.0,19,130.0,yes,no,yes,male,no,23,6,8,6,12.571428571428571,0,6,7,6,12.428571428571429,0,1
single,1,3,daytime,125.0,1,120.1,no,yes,yes,male,no,19,5,8,5,11.2,0,5,10,4,10.75,3,0
single,39,1,daytime,160.0,19,100.0,no,no,yes,male,no,26,6,7,6,12.0,0,6,8,5,10.8,0,1
single,17,1,daytime,148.0,38,134.0,no,no,yes,male,no,18,5,9,0,0.0,0,5,5,0,0.0,0,1
single,17,1,daytime,150.0,37,130.8,no,no,yes,male,no,24,7,8,7,11.975,0,8,8,8,13.75,0,1
single,1,1,daytime,141.0,19,135.8,yes,no,yes,male,no,19,0,0,0,0.0,0,0,0,0,0.0,0,0
single,17,4,daytime,118.0,38,111.7,yes,no,yes,male,no,18,6,12,3,11.666666666666666,0,6,12,1,12.0,0,0
single,1,2,daytime,142.0,38,132.9,yes,no,yes,male,no,18,6,8,6,12.333333333333334,0,6,11,3,12.333333333333334,0,1
single,17,3,daytime,120.0,19,115.5,yes,yes,yes,male,no,18,5,8,3,10.333333333333334,0,5,11,3,10.857142857142858,0,0
single,18,4,daytime,106.0,19,106.0,yes,no,yes,male,yes,21,6,8,4,10.5,0,6,11,1,11.0,0,0
single,17,4,daytime,121.0,1,120.3,yes,yes,yes,male,yes,19,6,6,6,13.666666666666666,0,6,6,6,13.333333333333334,0,1
single,17,4,daytime,150.0,38,130.8,no,no,yes,male,yes,22,7,7,7,14.842857142857142,0,8,9,8,15.055555555555555,0,1
married,39,1,evening,120.0,37,117.0,no,no,yes,male,no,33,6,8,6,12.0,0,6,6,6,11.666666666666666,0,1
single,1,6,daytime,114.0,19,110.2,yes,no,yes,male,no,20,6,8,5,12.2,0,6,7,5,12.2,0,0
single,39,1,evening,140.0,3,155.7,yes,no,yes,male,no,35,1,1,0,0.0,1,5,0,0,0.0,0,0
single,39,1,daytime,160.0,3,180.4,no,yes,yes,male,no,24,12,17,6,12.166666666666666,0,12,14,10,13.3,0,0
single,17,1,daytime,120.0,19,125.5,no,no,yes,male,no,18,5,6,5,12.0,0,5,8,3,11.333333333333334,0,1
married,39,1,evening,130.0,37,110.0,yes,no,yes,female,no,33,6,7,6,11.0,0,6,11,5,11.0,0,1
single,42,1,daytime,160.0,37,161.0,yes,no,yes,female,yes,22,8,8,7,13.08,0,8,8,7,13.08,0,1
single,39,1,daytime,120.0,1,100.0,no,no,yes,female,yes,25,5,7,4,10.5,0,5,7,5,11.6,0,1
single,17,1,daytime,124.0,19,117.6,yes,no,yes,male,no,20,6,9,6,10.666666666666666,1,6,6,5,11.2,0,1
single,1,6,daytime,143.0,38,128.7,yes,no,yes,male,no,23,5,6,4,14.0,0,5,5,5,13.8,0,1
single,43,2,daytime,115.0,38,112.2,yes,yes,yes,male,no,18,5,9,2,10.0,0,5,9,0,0.0,0,1
single,39,1,daytime,133.1,1,100.8,no,no,yes,male,no,24,7,18,0,0.0,0,7,7,0,0.0,0,0
single,17,2,daytime,133.1,19,105.0,yes,no,no,female,no,21,6,6,6,14.0,0,6,6,6,13.5,0,1
single,15,1,daytime,133.1,1,100.0,no,no,yes,female,no,26,6,7,2,12.0,1,6,6,0,0.0,0,0
married,39,1,daytime,133.1,37,115.5,no,no,yes,female,no,39,6,12,3,12.666666666666666,0,6,14,0,0.0,1,0
married,39,1,evening,133.1,37,114.0,no,no,yes,female,no,44,8,11,8,11.875,0,6,7,6,12.333333333333334,0,1
single,15,1,daytime,130.0,38,137.0,yes,no,yes,male,no,19,5,9,5,14.0,0,5,11,3,13.25,0,1
single,1,5,daytime,135.0,37,124.9,yes,no,yes,female,no,18,6,6,6,13.666666666666666,0,6,6,6,13.333333333333334,0,1
single,1,5,daytime,132.0,37,120.3,yes,no,yes,female,yes,18,7,7,7,13.75,0,8,9,8,14.47777777777778,0,1
single,1,1,daytime,135.0,1,134.3,yes,no,yes,female,no,19,5,7,5,14.2,2,5,7,5,13.8,0,1
single,1,4,daytime,115.0,3,111.5,yes,yes,no,female,no,19,7,10,4,11.96,0,7,7,0,0.0,0,0
single,53,1,daytime,130.0,38,128.8,no,no,yes,female,no,21,10,12,8,12.875,0,9,14,5,13.4,0,0
single,1,4,daytime,133.1,1,110.0,yes,no,yes,female,no,20,0,0,0,0.0,0,0,0,0,0.0,0,1
married,39,1,evening,130.0,37,113.5,yes,no,yes,female,no,36,6,0,0,0.0,0,6,0,0,0.0,0,0
divorced,39,1,daytime,133.1,37,160.0,no,no,yes,female,no,43,18,19,18,14.63157894736842,0,13,14,13,14.23076923076923,1,1
single,18,1,daytime,123.0,19,117.4,yes,no,yes,female,no,19,6,0,0,0.0,0,6,0,0,0.0,0,0
single,51,1,daytime,130.0,3,122.2,no,yes,yes,female,no,20,10,12,10,13.0,0,11,11,11,12.272727272727272,0,1
single,1,2,daytime,122.0,37,118.2,yes,no,yes,female,no,19,6,0,0,0.0,0,6,0,0,0.0,0,0
single,1,1,daytime,113.0,1,106.7,yes,no,yes,female,no,20,6,15,4,14.2,0,6,17,4,13.25,0,0
single,1,5,daytime,111.0,3,108.2,yes,no,yes,female,no,20,7,9,6,13.266666666666666,0,7,10,5,12.3,0,0
single,17,2,daytime,133.1,19,107.0,yes,no,yes,female,no,20,7,12,6,11.666666666666666,0,7,10,3,13.0,0,1
single,1,1,daytime,142.0,37,136.1,yes,no,yes,female,no,18,6,8,6,13.857142857142858,0,6,6,6,15.0,0,1
single,17,2,daytime,123.0,1,115.3,yes,no,yes,female,yes,18,5,9,3,13.0,0,5,11,3,11.0,0,1
single,1,1,daytime,131.0,19,139.8,yes,no,yes,female,no,19,5,6,5,13.4,0,5,5,5,12.8,0,1
single,1,3,daytime,158.0,1,157.0,yes,no,yes,female,no,18,6,6,6,12.666666666666666,0,6,7,6,12.571428571428571,0,1
single,17,2,daytime,122.0,37,131.0,yes,no,yes,female,no,18,7,7,6,12.516666666666666,1,7,7,6,12.516666666666666,1,0
single,43,1,daytime,130.0,38,100.0,no,no,yes,female,no,20,7,11,6,11.616666666666667,0,7,7,7,13.0,0,1
single,17,1,daytime,154.0,19,140.4,yes,no,yes,female,yes,20,6,13,2,10.0,0,6,12,4,10.75,0,1
single,17,1,daytime,120.0,19,113.4,no,no,yes,female,no,20,5,11,3,10.333333333333334,0,5,10,3,10.666666666666666,0,1
single,1,2,daytime,140.0,37,137.0,no,no,yes,female,no,18,5,12,5,13.142857142857142,2,5,6,5,11.4,0,1
single,1,1,daytime,127.0,2,121.8,no,no,yes,female,no,18,5,5,5,12.6,0,5,5,5,14.0,0,1
single,17,1,daytime,133.1,1,131.0,yes,no,yes,female,no,21,6,12,3,11.0,0,6,12,2,11.0,0,0
single,1,2,daytime,120.0,19,118.6,yes,no,yes,female,no,19,5,8,5,10.8,0,5,9,4,11.25,2,1
single,1,1,daytime,137.0,3,122.3,no,no,yes,female,no,19,0,0,0,0.0,0,0,0,0,0.0,0,0
single,1,1,daytime,131.0,38,127.9,no,no,yes,female,yes,19,5,5,5,12.8,0,5,5,5,14.2,0,1
single,1,1,daytime,130.0,19,121.3,yes,no,yes,female,no,19,6,15,6,14.166666666666666,0,6,13,6,12.2,0,1
single,17,6,daytime,122.0,1,117.1,yes,no,yes,female,no,19,7,12,5,12.1,0,7,0,0,0.0,0,0
single,44,1,daytime,160.0,37,160.0,yes,no,yes,female,no,20,6,7,6,14.166666666666666,0,6,17,5,13.77777777777778,0,1
single,1,1,daytime,146.0,19,145.3,yes,no,yes,female,yes,18,6,8,5,12.8,0,6,7,5,13.4,0,1
single,17,3,daytime,131.0,1,122.6,yes,no,yes,female,no,18,6,7,6,13.0,0,6,6,6,13.666666666666666,0,1
single,17,6,daytime,132.0,1,128.0,yes,no,yes,female,no,19,7,7,7,13.467142857142855,0,8,9,8,15.011111111111113,0,1
single,1,3,daytime,138.0,19,124.9,yes,no,yes,female,yes,18,7,9,7,13.2375,0,8,9,7,13.742857142857144,0,0
single,17,2,daytime,130.0,37,123.7,yes,no,yes,female,no,18,6,6,6,12.333333333333334,0,6,6,6,13.0,0,1
single,1,4,daytime,126.0,1,120.1,yes,no,yes,female,no,19,5,7,5,12.4,0,5,5,5,14.6,0,1
single,17,6,daytime,148.0,1,131.7,yes,no,yes,female,no,19,7,8,5,14.0,0,7,7,0,0.0,0,0
single,43,1,daytime,130.0,38,133.2,no,no,yes,female,no,20,9,15,9,11.666666666666666,0,7,8,7,11.714285714285714,0,1
single,1,1,daytime,117.0,1,109.3,no,yes,no,female,yes,19,6,7,5,12.0,0,6,9,4,12.5,0,0
single,17,1,daytime,120.0,19,113.0,yes,no,yes,female,no,20,5,7,4,12.2,0,5,5,4,11.5,0,1
single,1,1,daytime,153.0,1,157.9,no,yes,yes,female,yes,18,6,6,6,14.833333333333334,0,6,6,6,14.833333333333334,0,1
single,1,2,daytime,117.0,19,112.1,no,no,yes,female,yes,20,7,9,5,13.188,0,8,9,7,12.892857142857142,0,1
single,18,1,daytime,178.0,19,174.7,no,no,yes,female,no,18,7,8,7,17.125,0,8,8,8,17.5875,0,1
single,1,5,daytime,129.0,37,128.8,yes,no,yes,female,no,19,7,7,6,12.666666666666666,0,7,7,6,12.666666666666666,0,1
single,1,6,daytime,116.0,19,110.1,yes,no,yes,female,yes,19,6,8,6,12.666666666666666,0,6,10,5,12.0,0,1
single,51,1,daytime,99.0,3,99.7,yes,yes,no,female,no,22,5,8,0,0.0,0,5,7,0,0.0,0,1
single,1,3,daytime,135.0,1,121.0,yes,no,yes,female,yes,19,6,7,6,11.333333333333334,0,6,6,6,11.5,0,1
single,1,3,daytime,141.0,19,131.7,yes,no,yes,female,yes,19,7,10,7,13.605,0,8,11,8,12.33125,0,1
single,17,5,daytime,132.0,37,119.1,yes,no,yes,female,yes,19,6,10,5,12.0,0,6,9,5,10.8,0,1
single,1,4,daytime,132.0,12,124.7,yes,no,yes,female,no,19,5,10,0,0.0,0,5,10,0,0.0,0,0
single,17,1,daytime,113.0,1,117.2,yes,no,yes,female,no,20,6,8,5,11.2,0,6,12,3,11.666666666666666,0,0
single,1,1,daytime,134.0,3,128.8,no,no,yes,female,no,18,5,10,5,13.375,0,5,9,5,14.166666666666666,0,1
single,1,1,daytime,136.0,1,131.5,no,no,yes,female,yes,20,7,8,6,13.863333333333337,0,8,9,7,14.178571428571429,0,1
single,1,1,daytime,136.0,3,121.7,yes,no,yes,female,no,18,0,0,0,0.0,0,0,0,0,0.0,0,1
single,1,1,daytime,129.0,1,123.4,no,no,yes,female,no,19,5,6,5,12.4,0,5,6,5,13.4,0,1
single,17,1,daytime,138.0,38,124.7,yes,no,yes,female,no,18,6,11,3,12.333333333333334,0,6,10,5,10.833333333333334,0,1
single,1,1,daytime,137.0,37,132.8,yes,no,yes,female,no,18,6,7,6,13.333333333333334,0,6,8,5,11.8,0,1
single,43,1,daytime,115.0,3,108.7,yes,no,yes,female,no,21,6,10,3,12.666666666666666,0,6,12,3,10.0,0,0
single,1,1,daytime,129.0,38,138.1,no,no,yes,female,no,19,6,8,6,12.0,0,6,10,4,11.5,0,0
single,1,1,daytime,131.0,38,126.5,no,no,yes,female,yes,18,5,5,5,10.6,0,5,5,5,11.8,0,1
single,17,2,daytime,133.0,1,127.4,yes,no,yes,female,yes,18,6,8,6,12.25,0,6,7,6,11.857142857142858,0,1
single,1,3,daytime,125.0,19,123.6,yes,no,yes,female,no,20,6,10,4,11.0,0,6,9,6,11.833333333333334,0,1
single,39,1,evening,120.0,1,122.0,no,no,yes,female,yes,24,6,11,5,11.0,0,6,9,5,12.6,0,1
single,1,1,daytime,128.0,19,118.2,no,no,yes,female,no,19,6,6,6,13.166666666666666,0,6,9,6,13.0,0,0
single,1,1,daytime,127.0,19,123.9,yes,no,yes,female,yes,18,7,9,7,12.855555555555554,0,8,12,7,12.761111111111113,0,1
single,1,2,daytime,134.0,19,125.8,yes,no,yes,female,no,18,7,8,7,14.91875,0,8,8,8,15.355,0,1
single,17,5,daytime,132.0,12,123.3,yes,no,yes,female,no,21,6,13,4,11.5,0,6,10,3,11.0,0,0
single,17,2,daytime,124.0,1,124.4,no,no,yes,female,no,19,5,5,5,14.2,0,5,5,5,14.2,0,1
single,17,1,daytime,133.1,19,126.0,no,no,yes,female,yes,19,6,6,6,12.5,0,6,7,6,13.0,0,1
widower,39,1,daytime,170.0,1,170.0,no,yes,yes,female,no,47,1,1,0,0.0,0,6,0,0,0.0,0,1
single,17,3,daytime,125.0,19,121.5,no,no,yes,female,no,19,6,10,5,11.666666666666666,0,6,12,4,11.0,0,1
single,39,1,daytime,130.0,2,130.0,no,no,yes,female,no,29,8,8,7,14.257142857142856,0,8,8,7,14.257142857142856,0,1
single,43,1,daytime,125.0,19,117.0,yes,no,yes,female,no,21,6,13,3,12.0,0,6,12,2,11.333333333333334,0,0
single,39,1,daytime,130.0,37,130.0,yes,no,yes,female,no,28,5,13,4,11.25,1,5,11,4,10.5,0,1
single,17,2,daytime,133.1,37,108.0,no,no,yes,female,no,20,7,8,7,12.457142857142856,0,8,8,8,13.5625,0,1
single,17,1,daytime,131.0,2,132.3,yes,no,yes,female,no,19,7,7,6,11.683333333333332,0,7,7,6,11.683333333333332,0,1
single,42,1,evening,150.0,19,148.0,no,no,yes,female,no,26,6,10,3,11.666666666666666,0,6,8,5,12.0,0,1
single,17,2,daytime,125.0,37,122.6,yes,yes,no,female,no,20,6,8,4,11.75,0,6,6,6,13.166666666666666,0,0
single,1,1,daytime,131.0,37,123.0,yes,no,yes,female,yes,18,5,6,3,11.666666666666666,0,5,6,4,13.5,0,1
single,39,1,daytime,130.0,37,102.5,no,no,yes,female,no,27,6,9,5,13.2,0,6,10,5,12.0,0,1
single,1,2,daytime,123.0,34,113.3,yes,no,yes,female,no,20,7,8,4,11.95,0,7,8,4,11.95,0,0
single,1,5,daytime,141.0,37,133.0,yes,no,yes,female,no,18,6,8,5,12.4,0,6,12,5,10.4,0,0
single,7,1,daytime,140.0,1,140.0,no,no,yes,female,no,33,7,8,6,14.35,0,8,10,6,14.583333333333334,0,0
single,43,1,daytime,140.0,3,128.3,yes,no,yes,female,no,35,21,21,21,12.61904761904762,0,19,19,19,12.789473684210526,0,1
single,44,1,evening,140.0,37,140.0,no,no,yes,female,yes,26,6,7,6,12.666666666666666,0,6,7,6,13.166666666666666,1,1
single,39,1,daytime,133.1,19,104.0,no,yes,no,female,no,27,6,6,5,12.0,0,6,6,0,0.0,0,0
single,18,3,daytime,131.0,1,122.3,yes,no,no,female,no,19,6,6,6,12.166666666666666,0,6,6,0,0.0,0,0
single,17,2,daytime,143.0,1,135.0,no,no,yes,female,no,20,6,0,0,0.0,0,6,0,0,0.0,0,0
single,18,2,daytime,132.0,3,119.1,yes,yes,no,female,no,20,5,9,3,10.0,0,5,9,3,10.571428571428571,0,0
single,43,1,daytime,143.0,1,126.6,no,yes,no,female,no,21,10,18,8,11.5,0,6,12,4,10.0,0,1
single,17,3,daytime,141.0,38,129.0,yes,no,yes,female,yes,18,7,7,6,13.05,0,7,7,6,13.05,0,1
single,39,1,daytime,133.1,1,162.3,yes,no,yes,female,no,24,6,10,2,11.0,0,6,6,0,0.0,0,0
single,17,4,daytime,148.0,1,163.4,yes,no,yes,female,no,20,6,7,6,11.5,0,6,6,6,12.0,0,1
single,1,1,daytime,125.0,19,121.5,no,no,yes,female,yes,21,6,7,6,12.0,0,6,6,6,12.5,0,1
single,1,1,evening,120.0,1,122.8,no,no,yes,female,no,23,6,13,2,10.0,0,5,12,1,10.0,0,1
single,39,1,daytime,140.0,12,118.0,yes,no,yes,female,no,24,5,5,0,0.0,0,5,5,0,0.0,0,0
single,51,1,daytime,139.0,1,134.0,no,no,yes,female,no,21,6,0,0,0.0,0,6,0,0,0.0,0,0
single,1,4,daytime,142.0,38,129.8,yes,no,yes,female,no,18,8,8,7,12.242857142857144,0,8,8,7,12.242857142857144,0,1
single,39,1,evening,130.0,19,152.0,yes,no,yes,female,no,27,5,0,0,0.0,0,5,0,0,0.0,0,0
single,18,6,daytime,126.0,37,122.8,yes,no,yes,female,no,18,8,8,8,12.93375,0,8,8,8,12.93375,0,1
single,7,1,daytime,150.0,3,150.0,no,no,yes,female,no,35,5,0,0,0.0,0,5,0,0,0.0,0,0
single,1,1,daytime,130.0,19,131.8,no,no,yes,female,no,18,7,9,7,12.571428571428571,0,7,8,7,14.428571428571429,0,1
single,39,1,daytime,120.0,1,105.9,no,no,yes,female,no,35,3,4,3,11.816666666666668,0,3,3,3,11.333333333333334,0,1
single,1,1,daytime,138.0,1,132.1,yes,no,yes,female,no,19,5,9,4,13.75,0,5,13,4,14.333333333333334,2,1
single,1,4,daytime,127.0,19,127.4,yes,no,yes,female,no,20,6,8,6,11.166666666666666,0,6,6,6,11.333333333333334,0,1
single,1,4,daytime,140.0,19,129.5,yes,no,yes,female,no,18,8,8,7,12.324285714285711,0,8,8,7,12.324285714285711,0,1
single,44,1,daytime,130.0,38,126.7,no,yes,yes,female,no,21,6,6,6,12.166666666666666,0,6,7,6,11.714285714285714,0,1
single,17,2,daytime,128.0,19,116.5,no,no,yes,female,yes,18,6,11,5,11.142857142857142,0,6,11,4,11.25,0,1
single,1,1,daytime,132.0,34,119.1,yes,no,yes,female,no,18,6,9,4,11.0,0,6,9,4,10.75,0,1
single,1,2,daytime,149.0,19,126.5,yes,no,yes,female,no,18,8,8,7,12.914285714285713,0,8,8,7,12.914285714285713,0,1
single,1,4,daytime,155.0,3,149.8,yes,no,yes,female,yes,18,6,6,6,13.833333333333334,0,6,6,6,14.166666666666666,0,1
single,1,1,daytime,120.0,19,115.1,yes,no,yes,female,no,19,6,8,6,13.857142857142858,0,6,9,5,13.4,0,1
single,39,1,daytime,133.1,3,124.5,no,no,yes,female,yes,36,6,7,6,13.714285714285714,0,6,6,5,12.8,0,0
single,1,2,daytime,131.0,38,128.3,yes,no,yes,female,yes,18,8,8,7,12.642857142857142,0,8,8,7,12.642857142857142,0,1
single,1,1,daytime,149.0,37,136.0,no,no,yes,female,yes,18,7,7,6,12.916666666666666,0,7,7,6,12.916666666666666,0,1
single,43,1,daytime,140.0,1,140.0,yes,no,yes,female,yes,20,6,8,6,15.625,0,6,8,6,15.857142857142858,0,1
single,39,1,evening,133.1,37,126.3,no,no,yes,female,yes,26,5,7,0,0.0,0,5,8,0,0.0,0,0
